Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C5",0805,4,100nF,
"C4, C6",0805,2,1uf,
"D1, D4, D5, D6, D7, D8, D9",D_SMB,7,SMBJ13CA,C19077568
D2,D_SMB,1,SMBJ64CA,C41376099
F1,0154002DR,1,0154002.DR,
F2,0154005DR,1,0154005.DR,
F4,FUSC8664X180N,1,3425L200_60MR,
"IC1, IC2",QFN65P400X400X90-17N,2,TSYS01,
"J1, J2",1778719,2,1778719,
"J10, J9",CONN_SD-46437-9000_06_MOL,2,464379206,
"J11, J4, J7, J8",AMT0450003DB0000G,4,AMT0450003DB0000G,
J3,1778735,1,1778735,
J5,HDRV2W110P0X254_1X2_508X254X854P,1,61300211121,
"LED1, LED2, LED5, LED6",LEDC2012X85N,4,APT2012LZGCK,
PS1,SPAN02C12,1,SPAN02C-12,
PS2,SOT95P280X130-3N,1,XC6206P332MR-G,
"Q1, Q9",SIR804DPT1GE3,2,SIR804DP-T1-GE3,
"Q3, Q4, Q5, Q6, Q7",IAUT150N10S5N035ATMA1,5,S400N08TL,
Q8,SOIC127P700X230-4N,1,"TLP291_GB-TP,SE",
"R1, R10, R11, R2, R3, R4, R5, R6",0805,8,100k,
"R12, R13",0805,2,10k,
R14,0805,1,420,
"R15, R16",RES_PWR163_BRN,2,PWR163S-25-33R0F,
"R18, R19, R20, R21, R22, R23, R37",0805,7,10R,
"R24, R27, R28, R29, R30, R31, R38",0805,7,220K,
R32,0805,1,330,
"R33, R35",0805,2,4K7,
R34,0805,1,1K2,
R36,0805,1,2K2,
R7,0805,1,270k,
R8,0805,1,68k,
R9,0805,1,120R,
"TP1, TP2, TP3, TP4, TP5, TP6",TestPoint_Pad_D1.5mm,6,TestPoint,
U2,TSR0648120WI,1,TSR_0.6-48120WI,
U3,SOP254P610X218-4N,1,CPC1019N,
