Designator,Mid X,Mid Y,Rotation,Layer
C1,-43.2,1.5,90.0,top
C2,-9.5,5.3,0.0,top
C3,77.1,-24.1,0.0,top
C4,72.4375,-24.1,180.0,top
C5,68.0,-24.0,0.0,top
C6,63.5375,-14.9,0.0,top
D1,-19.7,10.6,90.0,bottom
D2,-27.5,8.5,0.0,bottom
D4,34.3,-22.3,270.0,bottom
D5,25.9,-22.3,270.0,bottom
D6,17.5,-22.3,270.0,bottom
D7,9.1,-22.3,270.0,bottom
D8,0.8,-22.35,270.0,bottom
D9,-79.8,-20.8,270.0,bottom
F1,-55.1,-18.8,180.0,top
F2,-55.0,-25.1,0.0,top
F4,-54.91,-22.4,0.0,bottom
IC1,-36.0,2.212,0.0,top
IC2,-2.7,4.3,0.0,top
J1,-71.6,-18.9,0.0,top
J10,17.499994,-32.9,0.0,top
J11,-8.8,24.5,0.0,top
J2,26.65,20.3,180.0,top
J3,-29.2,22.95,180.0,top
J4,8.8,24.5,0.0,top
J5,21.53,35.2,180.0,top
J7,-8.9,-16.25,0.0,top
J8,-38.9,-16.25,0.0,top
J9,-17.500005,-32.9,0.0,top
LED1,75.7,-30.0,180.0,top
LED2,75.7,-27.4,180.0,top
LED5,68.7,-30.0,180.0,top
LED6,68.7,-27.5,180.0,top
PS1,52.65,-21.2,0.0,top
PS2,35.7,7.1,0.0,top
Q1,-67.1,-17.0,180.0,bottom
Q3,38.2,3.0,0.0,bottom
Q4,25.9,3.0,0.0,bottom
Q5,13.6,3.0,0.0,bottom
Q6,1.3,3.0,0.0,bottom
Q7,-11.0,3.0,0.0,bottom
Q8,-34.7,12.3,180.0,top
Q9,-67.1,-24.6,180.0,bottom
R1,-36.97055,7.734941,270.0,top
R10,-36.5,-1.8,180.0,top
R11,-11.617603,1.263273,0.0,top
R12,26.9,14.0,0.0,top
R13,30.6,14.0,0.0,top
R14,-34.4,15.4,0.0,top
R15,-37.5,2.0,90.0,bottom
R16,-24.1,2.0,90.0,bottom
R18,-73.4,-15.1,180.0,bottom
R19,38.4,-19.5,0.0,bottom
R2,-25.4,14.4,270.0,top
R20,30.1,-25.0,0.0,bottom
R21,21.7,-25.0,0.0,bottom
R22,13.3,-25.0,0.0,bottom
R23,4.9,-25.0,0.0,bottom
R24,-84.3,-22.1,270.0,bottom
R27,38.4,-17.5,180.0,bottom
R28,30.1,-23.0,180.0,bottom
R29,21.7,-23.0,180.0,bottom
R3,-50.8,-12.8,90.0,top
R30,13.3,-23.0,180.0,bottom
R31,4.9,-23.0,180.0,bottom
R32,81.2,-26.6,90.0,top
R33,79.3,-20.4,90.0,top
R34,81.6,-20.4,90.0,top
R35,84.7,-26.7,90.0,top
R36,40.1,19.7,270.0,top
R37,-82.0,-26.1,180.0,bottom
R38,-74.6,-21.0,90.0,bottom
R4,-53.3,-12.8,90.0,top
R5,-22.5,14.4,270.0,top
R6,-19.3,14.4,270.0,top
R7,48.95,-15.25,0.0,top
R8,57.0,-15.3,0.0,top
R9,20.2,30.5,270.0,top
U2,71.94,-16.2,0.0,top
U3,42.9,15.3,0.0,top
