Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5",0805,5,100nF,CC0805KRX7R9BB104
"C6, C7",0603,2,8pF,CC0603JRNPO9BN8R0
"D1, D2",DIONC1608X55N,2,PESD0603-240,PESD0603-240
"F1, F7",0154002DR,2,0154002.DR,
"F2, F3, F4",0154005DR,3,0154005.DR,
F8,1812L010DR,1,1812L110_24DR,
"IC1, IC2",QFN65P400X400X90-17N,2,TSYS01,
J1,SSM-120-XXX-DV,1,RPI_5_WITH_SSQ-120-01-F-D,
"J10, J12, J13, J16, J19, J21, J24, J37, J38, J50, J53, J6, J9",1778719,13,1778719,
J11,M9N-G4-3100,1,M9N-G4-3100,
J14,XT30PW-F_AMASS_XT30PW-F,1,XT30PW-F,
"J15, J2, J22, J39, J49, J5, J7, J8",1814935,8,1814935,
J17,1814922,1,1814922,
"J23, J27, J32, J40, J43",1814948,5,1814948,
"J25, J28, J34, J42",XT60PWF,4,XT60PW-F,
J26,1814919,1,1814919,
"J29, J30",1778735,2,1778735,
"J3, J4",AXK6S00547YG,2,AXK6S00547YG,
"J31, J46",1814951,2,1814951,
J33,USB421603A,1,USB4216-03-A,
"J35, J48, J52",SM04B-GHS-TB,3,SM04B-GHS-TB_LF__SN_,
J36,SM05B-GHS-TB,1,SM05B-GHS-TB_LF__SN_,
J41,SM06B-GHS-TB,1,SM06B-GHS-TB_LF__SN_,
"J44, J45",AMT0450003DB0000G,2,AMT0450003DB0000G,
"J47, J51",GIGABLOX_NANO_SWITCH_REVA_MODULE_LSHM-120-02.5-L-DV-A-S-K-TR,2,GIGABLOX_NANO_SWITCH_REVA_MODULE,
K1,SOP254P610X218-4N,1,CPC1019N,
"LED1, LED2",LEDC2012X85N,2,APT2012LVBC_D,
LS1,CMT8530SSMTTR,1,CMT-8530S-SMT-TR,
PS1,REC20K,1,REC20K-4805SZ,
PS2,REC30K,1,REC30K-4812SZ,
"R1, R15, R23",0805,3,1K5,
"R10, R11, R17, R19, R20, R21",0805,6,10k,RC0805FR-0710KL
"R12, R13",0805,2,5K1,
"R14, R18",0805,2,120R,RC0805FR-07120RL
R16,0805,1,0R,RC0805FR-070RL
"R2, R3, R4, R5, R6",0805,5,100k,
R24,0805,1,1K2,
R25,0805,1,4K7,
R7,0805,1,100k,RC0805FR-070RL
R8,0805,1,100k,RC0805FR-0710KL
R9,0805,1,100k,RC0805FR-07120RL
"S1, S2",SLW9135352ASMT,2,SLW-913535-2A-SMT,SLW-913535-2A-SMT
"TP1, TP2, TP3, TP4",TestPoint_Pad_1.0x1.0mm,4,TestPoint_Small,
U1,SOIC127P600X175-8N,1,TJA1049T/3J,TJA1049T/3J
U2,SOIC127P1030X265-18N,1,MCP2515-I/SO,MCP2515-I/SO
"U4, U5",CPC1907B,2,CPC1907B,
X1,NX3225GD-STD-CRA-3,1,16MHz,NX3225GB-16M-STD-CRA-2
