Designator,Mid X,Mid Y,Rotation,Layer
C1,-45.8,43.4,0.0,top
C2,2.7,4.5625,270.0,top
C3,-83.6,-34.9,0.0,top
C4,-86.8,-17.0,180.0,top
C5,-74.1,-29.8,0.0,top
C6,-87.7,-22.2,0.0,top
C7,-87.8,-28.1,0.0,top
D1,-68.9,-32.0,90.0,top
D2,-68.6,-38.4,90.0,top
F1,25.8,92.1,0.0,top
F2,-80.2,44.2,0.0,top
F3,51.6,-6.4,135.0,top
F4,81.444329,13.255671,135.0,top
F7,71.7,22.8,135.0,top
F8,75.8,31.3,45.0,top
IC1,0.0,0.0,0.0,top
IC2,-40.0,40.0,0.0,top
J1,-72.51,24.45,0.0,top
J10,-60.4,34.7,0.0,top
J11,0.0,77.5,0.0,top
J12,93.214897,-26.485103,225.0,top
J13,106.614897,-13.185103,225.0,top
J14,96.74803173053455,-43.34803173053452,225.0,top
J15,105.0,-28.9,45.0,top
J16,46.8,48.8,135.0,top
J17,117.0,-16.9,45.0,top
J19,32.8,62.4,0.0,top
J2,-93.7,-37.3,315.0,top
J21,32.8,72.4,0.0,top
J22,-21.3,112.5,225.0,top
J23,81.4,-52.5,45.0,top
J24,32.8,82.4,0.0,top
J25,69.05770878731954,-69.05770878731957,225.0,top
J26,-78.85,55.0,225.0,top
J27,51.6,82.3,135.0,top
J28,69.05770878731954,69.05770878731956,315.0,top
J29,70.0,9.25,90.0,bottom
J3,-26.25,0.0,270.0,top
J30,-70.0,9.25,270.0,bottom
J31,38.2,100.6,135.0,top
J32,-81.4,-52.5,315.0,top
J33,-100.7185,35.6,270.0,top
J34,-69.05770878731956,-69.05770878731957,135.0,top
J35,-44.2,97.3,45.0,top
J36,-33.05,32.037,180.0,top
J37,72.7,-14.55,90.0,bottom
J38,-72.7,-14.55,270.0,bottom
J39,20.8,113.1,135.0,top
J4,26.25,0.0,270.0,top
J40,-52.4,81.5,225.0,top
J41,-37.4,98.4,45.0,top
J42,-69.05770878731956,69.05770878731956,45.0,top
J43,47.2,-61.3,315.0,top
J44,16.1125,-48.5,90.0,top
J45,-15.8875,-48.5,90.0,top
J46,-46.4,-65.2,45.0,top
J47,14.0,43.175,0.0,top
J48,28.5,42.875,90.0,top
J49,0.2,121.575,180.0,top
J5,100.474338,33.415254,135.0,top
J50,101.2,9.2,225.0,top
J51,-14.0,43.175,0.0,top
J52,28.5,34.225,90.0,top
J53,77.8,-41.4,225.0,top
J6,-80.2,34.7,0.0,top
J7,114.9,19.0,135.0,top
J8,117.4,5.0,45.0,top
J9,59.8,35.8,135.0,top
K1,19.7,103.3,0.0,top
LED1,53.0,-15.9,45.0,top
LED2,74.15,4.75,45.0,top
LS1,-49.8,-48.8,90.0,top
PS1,59.399999878930835,-31.100000327358515,135.0,top
PS2,79.79999987893086,-10.800000327358514,135.0,top
R1,13.9,104.6,0.0,top
R10,2.8,23.8,270.0,top
R11,2.8,27.5,90.0,top
R12,-91.8,34.7,0.0,top
R13,-91.8,39.5,180.0,top
R14,14.0,98.8,0.0,top
R15,52.9,26.3,45.0,top
R16,-82.1,-42.4,180.0,top
R17,-77.0,-39.4,180.0,top
R18,-72.8,-39.4,0.0,top
R19,-70.2,-13.7,180.0,top
R2,-2.3,38.1,270.0,top
R20,-69.6,-26.0,270.0,top
R21,-82.0,-39.3,270.0,top
R23,-41.6,48.6,0.0,top
R24,51.4,-14.2,225.0,top
R25,77.55,8.25,225.0,top
R3,-45.9,38.6,0.0,top
R4,7.6,34.2,90.0,top
R5,7.6,28.2,90.0,top
R6,-49.1,30.8,90.0,top
R7,-45.4,30.8,90.0,top
R8,10.2,24.95,0.0,top
R9,-28.2,98.8,225.0,top
S1,-73.3,-45.5,0.0,top
S2,6.0,102.6,180.0,top
U1,-74.1,-34.2,0.0,top
U2,-77.4,-21.99,0.0,top
U4,-59.6,49.5,90.0,top
U5,58.8,12.2,225.0,top
X1,-85.9,-25.1,90.0,top
