Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,10uF,
"C10, C11, C12, C13, C14, C2, C7, C8, C9",0805,9,"10uF, 10V, 0805",
"C3, C4, C5, C6",0805,4,47uF,
"D1, D2",DIONM7959X262N,2,SMDJ5.0CA,
D3,DFLS240L7,1,DFLS240L-7,
"F1, F2, F3",NANOSMDC016F2,3,NANOSMDC035F-2,
"FL1, FL2, FL3, FL4, FL5, FL6, FL7, FL8",NFM21PC104R1E3D,8,NFM21PC104R1E3D,
J1,AXK5S00347YG_AXK5S00347YG,1,AXK5S00347YG,
"J2, J3",AXK5S00047YG,2,AXK5S00047YG,
"LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8",LEDC2012X85N,8,APT2012LVBC_D,
"R1, R2, R3, R4",0805,4,22R,
"R10, R12, R5, R6, R7, R8",0805,6,1K2,
"R11, R9",0805,2,330R,
