Designator,Mid X,Mid Y,Rotation,Layer
C1,-24.0,-26.5,270.0,bottom
C10,10.0,-26.6,270.0,bottom
C11,14.0,-26.5,270.0,bottom
C12,18.0,-26.5,270.0,bottom
C13,21.0,-26.5,270.0,bottom
C14,24.0,-26.5,270.0,bottom
C2,-21.0,-26.5,90.0,bottom
C3,-18.0,-26.5,270.0,bottom
C4,-14.0,-26.5,90.0,bottom
C5,-10.0,-26.5,90.0,bottom
C6,-6.0,-26.5,90.0,bottom
C7,-2.0,-26.5,270.0,bottom
C8,2.0,-26.5,270.0,bottom
C9,6.0,-26.5,270.0,bottom
D1,28.8,26.6,0.0,top
D2,17.9,26.6,180.0,top
D3,-22.7,26.6,180.0,top
F1,32.2,19.4,270.0,top
F2,-30.0,26.6,180.0,top
F3,-31.5,-20.4,270.0,top
FL1,-32.4,-26.1,270.0,top
FL2,-28.1,-26.1,270.0,top
FL3,27.4,-26.1,90.0,top
FL4,31.6,-26.1,90.0,top
FL5,-32.4,-26.1,90.0,bottom
FL6,-28.1,-26.1,90.0,bottom
FL7,27.375,-26.1,90.0,bottom
FL8,31.575,-26.1,90.0,bottom
J1,0.0,-17.0,0.0,top
J2,-26.25,0.0,270.0,bottom
J3,26.25,0.0,270.0,bottom
LED1,-17.5,-27.65,90.0,top
LED2,-12.5,-27.65,90.0,top
LED3,-7.5,-27.65,90.0,top
LED4,-2.5,-27.65,90.0,top
LED5,2.5,-27.65,90.0,top
LED6,12.5,-27.7,90.0,top
LED7,7.4,-27.7,90.0,top
LED8,17.5,-27.7,90.0,top
R1,-5.0,-16.0,270.0,bottom
R10,11.8,-24.55,0.0,top
R11,6.7,-24.6,180.0,top
R12,16.8,-24.6,0.0,top
R2,-2.0,-16.0,270.0,bottom
R3,2.0,-16.0,270.0,bottom
R4,5.0,-16.0,270.0,bottom
R5,-18.2,-24.6,0.0,top
R6,-13.2,-24.6,0.0,top
R7,-8.2,-24.6,0.0,top
R8,-3.2,-24.6,0.0,top
R9,1.8,-24.6,0.0,top
